,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
122,4000,0.25,-3.45,2035,20055911.78,200923107.71,16347985.43,200923107.71,0.09981884119046906,0.018644595799205382,0.08136438668665065,0.00019014129538696967
123,4100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
124,4100,0.25,-3.45,2026,16003404.98,192503918.12,12918491.15,192503918.12,0.08313287924884757,0.001958633857583894,0.06710767903408116,-0.014066566357182522
125,4100,0.25,-3.45,2035,20055911.78,200923107.71,16495080.1,200923107.71,0.09981884119046906,0.018644595799205382,0.08209648102700053,0.0009222356357368455
126,4200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
127,4200,0.25,-3.45,2026,16003404.98,192503918.12,13079478.76,192503918.12,0.08313287924884757,0.001958633857583894,0.0679439612852281,-0.013230284106035578
128,4200,0.25,-3.45,2035,20055911.78,200923107.71,16679023.360000001,200923107.71,0.09981884119046906,0.018644595799205382,0.08301197184384324,0.001837726452579555
129,4300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
130,4300,0.25,-3.45,2026,16003404.98,192503918.12,13208768.56,192503918.12,0.08313287924884757,0.001958633857583894,0.0686155829398035,-0.012558662451460187
131,4300,0.25,-3.45,2035,20055911.78,200923107.71,16830776.57,200923107.71,0.09981884119046906,0.018644595799205382,0.08376725186976752,0.0025930064785038426
132,4400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
133,4400,0.25,-3.45,2026,16003404.98,192503918.12,13317904.02,192503918.12,0.08313287924884757,0.001958633857583894,0.06918250885521249,-0.011991736536051192
134,4400,0.25,-3.45,2035,20055911.78,200923107.71,17017974.18,200923107.71,0.09981884119046906,0.018644595799205382,0.08469893967876851,0.0035246942875048343
135,4500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
136,4500,0.25,-3.45,2026,16003404.98,192503918.12,13468414.59,192503918.12,0.08313287924884757,0.001958633857583894,0.06996436603230213,-0.011209879358961547
137,4500,0.25,-3.45,2035,20055911.78,200923107.71,17181322.29,200923107.71,0.09981884119046906,0.018644595799205382,0.0855119278505211,0.004337682459257419
138,4600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
139,4600,0.25,-3.45,2026,16003404.98,192503918.12,13625695.26,192503918.12,0.08313287924884757,0.001958633857583894,0.0707813918442233,-0.010392853547040379
140,4600,0.25,-3.45,2035,20055911.78,200923107.71,17348830.0,200923107.71,0.09981884119046906,0.018644595799205382,0.08634561846933121,0.0051713730780675315
141,4700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
142,4700,0.25,-3.45,2026,16003404.98,192503918.12,13781317.26,192503918.12,0.08313287924884757,0.001958633857583894,0.0715898013639869,-0.009584444027276776
143,4700,0.25,-3.45,2035,20055911.78,200923107.71,17486158.3,200923107.71,0.09981884119046906,0.018644595799205382,0.08702910530947212,0.005854859918208444
144,4800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
145,4800,0.25,-3.45,2026,16003404.98,192503918.12,13939847.11,192503918.12,0.08313287924884757,0.001958633857583894,0.07241331629058273,-0.00876092910068095
146,4800,0.25,-3.45,2035,20055911.78,200923107.71,17632981.89,200923107.71,0.09981884119046906,0.018644595799205382,0.08775985047698126,0.00658560508571758
147,4900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
148,4900,0.25,-3.45,2026,16003404.98,192503918.12,14080591.16,192503918.12,0.08313287924884757,0.001958633857583894,0.07314443933147723,-0.008029806059786454
149,4900,0.25,-3.45,2035,20055911.78,200923107.71,17781010.39,200923107.71,0.09981884119046906,0.018644595799205382,0.08849659251570015,0.007322347124436468
150,5000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
151,5000,0.25,-3.45,2026,16003404.98,192503918.12,14189329.15,192503918.12,0.08313287924884757,0.001958633857583894,0.07370930050969084,-0.007464944881572844
152,5000,0.25,-3.45,2035,20055911.78,200923107.71,17928038.63,200923107.71,0.09981884119046906,0.018644595799205382,0.0892283562320578,0.008054110840794118
153,5100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
154,5100,0.25,-3.45,2026,16003404.98,192503918.12,14318550.040000001,192503918.12,0.08313287924884757,0.001958633857583894,0.07438056419752627,-0.006793681193737411
155,5100,0.25,-3.45,2035,20055911.78,200923107.71,18067688.580000002,200923107.71,0.09981884119046906,0.018644595799205382,0.08992339799003003,0.008749152598766352
156,5200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
157,5200,0.25,-3.45,2026,16003404.98,192503918.12,14451292.06,192503918.12,0.08313287924884757,0.001958633857583894,0.07507011909748032,-0.00610412629378336
158,5200,0.25,-3.45,2035,20055911.78,200923107.71,18206966.330000002,200923107.71,0.09981884119046906,0.018644595799205382,0.09061658729805638,0.009442341906792703
159,5300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
160,5300,0.25,-3.45,2026,16003404.98,192503918.12,14584769.94,192503918.12,0.08313287924884757,0.001958633857583894,0.07576349656898089,-0.00541074882228279
161,5300,0.25,-3.45,2035,20055911.78,200923107.71,18323276.44,200923107.71,0.09981884119046906,0.018644595799205382,0.09119546601104082,0.010021220619777144
162,5400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
163,5400,0.25,-3.45,2026,16003404.98,192503918.12,14710240.16,192503918.12,0.08313287924884757,0.001958633857583894,0.07641527665338306,-0.00475896873788062
164,5400,0.25,-3.45,2035,20055911.78,200923107.71,18469900.28,200923107.71,0.09981884119046906,0.018644595799205382,0.09192521701714028,0.010750971625876599
165,5500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
166,5500,0.25,-3.45,2026,16003404.98,192503918.12,14865201.46,192503918.12,0.08313287924884757,0.001958633857583894,0.07722025403521174,-0.003953991356051942
167,5500,0.25,-3.45,2035,20055911.78,200923107.71,18606833.41,200923107.71,0.09981884119046906,0.018644595799205382,0.09260673708499449,0.011432491693730812
168,5600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
169,5600,0.25,-3.45,2026,16003404.98,192503918.12,15015247.700000001,192503918.12,0.08313287924884757,0.001958633857583894,0.07799969915749994,-0.003174546233763745
170,5600,0.25,-3.45,2035,20055911.78,200923107.71,18741993.35,200923107.71,0.09981884119046906,0.018644595799205382,0.0932794319359774,0.012105186544713722
171,5700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
