,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
92,3000,0.25,-3.45,2035,20055911.78,200923107.71,13618339.620000001,200923107.71,0.09981884119046906,0.018644595799205382,0.06777886214887673,-0.013395383242386955
93,3100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
94,3100,0.25,-3.45,2026,16003404.98,192503918.12,10234472.290000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05316500770451955,-0.028009237686744133
95,3100,0.25,-3.45,2035,20055911.78,200923107.71,13690598.83,200923107.71,0.09981884119046906,0.018644595799205382,0.06813849828442911,-0.01303574710683457
96,3200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
97,3200,0.25,-3.45,2026,16003404.98,192503918.12,10354130.24,192503918.12,0.08313287924884757,0.001958633857583894,0.05378659479307641,-0.02738765059818727
98,3200,0.25,-3.45,2035,20055911.78,200923107.71,13768489.66,200923107.71,0.09981884119046906,0.018644595799205382,0.06852616315228703,-0.012648082238976649
99,3300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
100,3300,0.25,-3.45,2026,16003404.98,192503918.12,10459620.26,192503918.12,0.08313287924884757,0.001958633857583894,0.05433458374327659,-0.02683966164798709
101,3300,0.25,-3.45,2035,20055911.78,200923107.71,13878024.55,200923107.71,0.09981884119046906,0.018644595799205382,0.06907132140336333,-0.012102923987900346
102,3400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
103,3400,0.25,-3.45,2026,16003404.98,192503918.12,10552210.450000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05481556195350857,-0.02635868343775511
104,3400,0.25,-3.45,2035,20055911.78,200923107.71,13975022.51,200923107.71,0.09981884119046906,0.018644595799205382,0.06955408299861002,-0.011620162392653663
105,3500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
106,3500,0.25,-3.45,2026,16003404.98,192503918.12,10668325.76,192503918.12,0.08313287924884757,0.001958633857583894,0.05541874609196136,-0.02575549929930232
107,3500,0.25,-3.45,2035,20055911.78,200923107.71,14083905.75,200923107.71,0.09981884119046906,0.018644595799205382,0.07009599796917255,-0.011078247422091125
108,3600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
109,3600,0.25,-3.45,2026,16003404.98,192503918.12,10750960.0,192503918.12,0.08313287924884757,0.001958633857583894,0.05584800613407899,-0.02532623925718469
110,3600,0.25,-3.45,2035,20055911.78,200923107.71,14210963.06,200923107.71,0.09981884119046906,0.018644595799205382,0.07072836580106667,-0.010445879590197008
111,3700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
112,3700,0.25,-3.45,2026,16003404.98,192503918.12,10844182.89,192503918.12,0.08313287924884757,0.001958633857583894,0.056332271030660935,-0.024841974360602745
113,3700,0.25,-3.45,2035,20055911.78,200923107.71,14296868.1,200923107.71,0.09981884119046906,0.018644595799205382,0.0711559176191681,-0.010018327772095575
114,3800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
115,3800,0.25,-3.45,2026,16003404.98,192503918.12,10920433.120000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05672836805946254,-0.02444587733180114
116,3800,0.25,-3.45,2035,20055911.78,200923107.71,14414485.35,200923107.71,0.09981884119046906,0.018644595799205382,0.07174130200496887,-0.009432943386294815
