,single_amount,rate_adjust,diff,rate_adjust_pc
64,3200.0,-0.006100000000000001,-0.0003650874533784179,-6.1000000000000005
66,3300.0,-0.006000000000000002,-0.0022830138671479493,-6.000000000000002
68,3400.0,-0.005800000000000001,-0.0019301641263950195,-5.800000000000002
70,3500.0,-0.005600000000000002,-0.001560100151156738,-5.600000000000001
72,3600.0,-0.005400000000000001,-0.0012267474883369141,-5.400000000000001
74,3700.0,-0.0052000000000000015,-0.001022327984527832,-5.200000000000001
76,3800.0,-0.005000000000000002,-0.0007749644878095704,-5.000000000000002
78,3900.0,-0.004800000000000001,-0.0006270198614980469,-4.800000000000002
80,4000.0,-0.004600000000000002,-0.00046031646979785156,-4.600000000000001
82,4100.0,-0.0044,-0.0003252383419008787,-4.3999999999999995
84,4200.0,-0.004199999999999999,-0.00022185642196972661,-4.199999999999998
86,4300.0,-0.003999999999999999,-6.468208099853518e-05,-3.999999999999999
88,4400.0,-0.0038999999999999985,-0.0023279437907202153,-3.899999999999998
90,4500.0,-0.003699999999999998,-0.0023167319502441406,-3.6999999999999975
92,4600.0,-0.0033999999999999994,-2.2519622731445355e-05,-3.399999999999999
94,4700.0,-0.003199999999999999,-5.5073279390136765e-05,-3.199999999999999
96,4800.0,-0.0029999999999999983,-7.186454007373048e-05,-2.9999999999999982
98,4900.0,-0.0027999999999999995,-9.835244557910157e-05,-2.7999999999999994
100,5000.0,-0.002599999999999999,-0.00017991777755908201,-2.5999999999999988
102,5100.0,-0.002399999999999999,-0.00014127478518798824,-2.3999999999999986
104,5200.0,-0.002199999999999999,-8.820992746826169e-05,-2.199999999999999
106,5300.0,-0.0020000000000000005,-0.00016017923368505857,-2.0000000000000004
108,5400.0,-0.0018,-0.00024179783522998045,-1.7999999999999998
110,5500.0,-0.0015999999999999994,-0.00010018136415234364,-1.5999999999999994
112,5600.0,-0.0014000000000000006,-0.0002474883902553711,-1.4000000000000006
114,5700.0,-0.0012000000000000001,-0.0004361626932939454,-1.2
116,5800.0,-0.0009999999999999996,-0.0005060296166557616,-0.9999999999999996
118,5900.0,-0.0008000000000000007,-0.0006041774876918945,-0.8000000000000007
120,6000.0,-0.0006000000000000001,-0.000716236234940918,-0.6
122,6100.0,-0.0003999999999999995,-0.0008665596293100585,-0.3999999999999994
124,6200.0,-0.00019999999999999895,-0.00104202916990625,-0.19999999999999896
126,6300.0,-1.8973538018496328e-19,-0.001240090902081543,-1.8973538018496328e-16
128,6400.0,0.00020000000000000025,-0.001474121570977539,0.20000000000000023
130,6500.0,0.00040000000000000067,-0.001651734923347168,0.4000000000000007
132,6600.0,0.0005999999999999994,-0.0017731407091801758,0.5999999999999994
134,6700.0,0.0007999999999999999,-0.0019760577083115234,0.7999999999999998
136,6800.0,0.0010000000000000005,-0.0021839342799931643,1.0000000000000004
138,6900.0,0.001300000000000001,-0.00010687512984130861,1.3000000000000012
140,7000.0,0.0014999999999999998,-0.00024204850512451171,1.4999999999999998
142,7100.0,0.0017000000000000008,-0.0003065097806611328,1.7000000000000006
144,7200.0,0.0019000000000000017,-0.0005939568106474609,1.9000000000000017
146,7300.0,0.0021000000000000007,-0.0007446499216889647,2.1000000000000005
148,7400.0,0.0023000000000000013,-0.0010141391034331055,2.300000000000001
150,7500.0,0.002500000000000002,-0.001211329600657715,2.5000000000000013
